posted_date,job_title,skill_name,job_link
Diperbarui 20 hari yang lalu,Backend Developer (Golang),PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 20 hari yang lalu,Backend Developer (Golang),RESTful API,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 20 hari yang lalu,Backend Developer (Golang),Docker,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 20 hari yang lalu,Backend Developer (Golang),Git,https://glints.com/id/opportunities/jobs/backend-developer-golang/43cc9466-fd0b-4fd5-9c4a-58384af18487?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 25 hari yang lalu,Backend Developer (Golang),Java,https://glints.com/id/opportunities/jobs/backend-developer-golang/65ef10c2-60cc-4d91-ab70-1528178e0a27?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 25 hari yang lalu,Backend Developer (Golang),Docker,https://glints.com/id/opportunities/jobs/backend-developer-golang/65ef10c2-60cc-4d91-ab70-1528178e0a27?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 25 hari yang lalu,Backend Developer (Golang),Node.js,https://glints.com/id/opportunities/jobs/backend-developer-golang/65ef10c2-60cc-4d91-ab70-1528178e0a27?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 25 hari yang lalu,Backend Developer (Golang),Git,https://glints.com/id/opportunities/jobs/backend-developer-golang/65ef10c2-60cc-4d91-ab70-1528178e0a27?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend Developer,Node.js,https://glints.com/id/opportunities/jobs/backend-developer/c796ac41-a682-4077-9517-5a7fe7b0fa7d?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend Developer,Git,https://glints.com/id/opportunities/jobs/backend-developer/c796ac41-a682-4077-9517-5a7fe7b0fa7d?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend Developer,NestJS,https://glints.com/id/opportunities/jobs/backend-developer/c796ac41-a682-4077-9517-5a7fe7b0fa7d?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
